1840	43.9	39.5	7.32
1900	44.87	38.45	5.65
1807	45.2	38.3	5.71
1304	45.5	38.5	6.67
1786	45.6	38.3	6.31
1273	45.8	38.4	6.49
1550	46	37.8	5.39
1641	46.1	37.9	6.77
1780	46.25	38.15	7.32
1042	46.3	38.1	7.23
1717	46.3	38.1	5.94
1721	46.7	37.9	7.23
1883	47.2	37.9	6.21
1593	47.5	37.8	6.12
1621	47.7	37.4	5.71
1844	47.8	37.6	6.86
1879	47.8	37.8	6.67
1879	47.9	37.8	6.67
1844	48	37.4	6.86
1896	48.4	37.8	6.67
1896	48.4	37.8	6.67
1863	48.6	38.2	6.12
1863	48.6	38.2	6.12
1709	49.6	37.3	5.41
1713	49.6	37.3	5.41
1854	49.7	37.4	5.94
1854	49.7	37.4	5.71
1857	49.7	37.4	5.71
1876	49.8	35.8	5.75
1119	50	36.4	6.49
1678	50	37.2	6.49
1808	50.3	36.4	5.94
1485	50.5	36.7	7.13
1608	50.5	36.4	7.5
958	51.1	36	7.59
1383	51.5	35.7	6
-300	51.8	35.5	7.5
1665	52.05	35.75	6.49
743	52.2	35.3	7.13
1815	52.2	35.9	6
1808	52.4	36.2	5.11
1830	52.5	35.7	7.04
1830	52.6	35.7	5.41
1863	52.9	34.9	6.4
1301	53.2	36.1	6.67
1127	53.6	36.3	6.77
1102	54.1	36.3	5.59
856	54.3	36.2	7.78
859	54.3	36.2	5.41
858	54.3	36.2	6.03
1808	54.5	35.3	6.58
1890	54.6	36.6	7.13
1177	55.2	35	7.13
1436	55.2	37.3	6.95
1470	55.2	37.3	6.95
1498	55.2	37.3	6.95
1695	57	36.8	6.95
1052	57.7	36.2	6.95
10	58.3	38	7.04
1895	58.37	37.08	6.77
1871	58.39	37.36	7.13
1872	58.39	37.36	6.95
1893	58.39	37	7.04
1851	58.4	36.8	6.86
-2000	58.5	38.1	6.95
1209	58.7	36.4	7.5
1251	58.75	36.21	5.71
1145	58.8	36.2	5.71
1270	58.8	36.2	7.04
1389	58.8	36.2	7.5
1405	58.8	36.2	7.5
763	59.3	33.3	7.41
1673	59.3	36.3	6.58
1677	59.7	36.3	5.88
1364	61.7	34.9	5.88
1102	62.2	34.4	5.59
