Mag	Year	Month	Day	Hour	Min	Sec	Depth	Lon	Lat
4.29	1988	6	8	15	51	48	10.00	44.88	35.46
4.29	1994	5	18	17	18	54	10.00	43.98	41.26
4.29	1999	10	10	5	59	13	10.00	46.55	40.83
4.29	2000	2	10	9	37	32	10.00	46.90	41.80
4.29	2001	9	25	17	36	31	10.00	46.32	41.70
4.29	2002	3	6	19	13	1	10.00	44.36	38.53
4.29	2002	8	10	20	10	37	10.00	48.87	41.35
4.29	2003	5	7	8	56	18	10.00	47.72	40.67
4.29	2002	5	21	10	48	34	12.00	51.55	36.29
4.29	1995	3	8	7	38	9	15.00	46.57	34.18
4.29	1997	5	31	13	42	18	15.00	47.30	34.46
4.29	2000	9	24	7	12	15	15.00	43.66	39.49
4.29	1999	12	8	23	27	27	19.00	46.43	34.34
4.29	1997	6	28	6	45	0	28.00	48.24	41.69
4.29	2000	4	25	6	12	54	28.00	46.26	41.86
4.29	2001	11	26	5	24	23	32.00	48.71	40.63
4.29	1974	3	24	7	36	34	33.00	47.09	41.04
4.29	1975	9	19	16	26	1	33.00	51.10	41.17
4.29	1978	9	16	18	21	34	33.00	47.58	38.58
4.29	1978	10	7	3	4	0	33.00	45.71	35.61
4.29	1982	11	21	1	43	39	33.00	48.13	40.32
4.29	1990	12	20	20	35	22	33.00	47.29	33.87
4.29	1991	10	17	19	16	27	33.00	53.13	36.41
4.29	1995	4	17	13	3	13	33.00	48.42	40.92
4.29	1995	9	4	12	10	20	33.00	51.24	39.82
4.29	2001	6	17	11	22	15	33.00	45.81	39.04
4.29	2002	7	25	21	40	23	33.00	44.38	35.63
4.29	2002	10	16	5	49	16	33.00	51.03	41.74
4.29	2000	10	2	17	41	42	35.00	45.69	35.25
4.29	1976	12	1	14	38	24	44.00	44.77	40.18
4.29	1973	10	30	15	59	30	48.00	50.71	36.95
4.29	2002	11	17	9	52	39	52.00	50.18	41.54
4.29	1970	11	28	20	21	18	53.00	42.70	38.00
4.29	1975	7	12	22	11	41	53.00	43.86	39.28
4.29	1974	6	22	6	11	44	57.00	46.65	41.80
4.29	1975	7	18	23	45	2	62.00	45.71	38.98
4.29	1999	3	9	9	42	4	67.00	44.93	39.13
4.29	1995	8	18	4	24	37	68.00	48.69	41.56
4.29	1975	5	9	12	48	1	73.00	44.81	38.86
4.29	1970	10	3	6	57	3	78.00	51.31	36.01
4.29	1998	12	19	7	12	34	89.00	51.93	40.26
4.29	1963	4	23	6	39	22	93.00	47.30	41.10
4.23	1996	1	29	19	3	52	10.00	45.32	41.45
4.23	1996	12	22	18	40	47	10.00	44.01	41.28
4.23	1972	3	10	10	57	36	33.00	44.69	41.61
4.19	2005	9	14	16	51	58	5.00	47.08	37.82
4.19	2007	5	11	14	50	10	5.00	49.29	36.85
4.19	2008	1	30	8	37	28	10.00	49.96	40.23
4.19	2014	5	23	2	4	43	10.00	48.70	38.81
4.19	2015	2	9	1	12	32	10.00	48.52	40.30
4.19	2011	3	25	9	52	16	11.10	47.38	39.32
4.19	2006	6	28	14	11	15	13.00	49.12	35.89
4.19	2014	2	27	6	5	14	30.10	48.70	38.66
4.19	2006	6	12	16	21	56	32.10	49.12	40.62
4.19	1992	4	26	13	15	51	33.00	47.15	37.84
4.19	1997	5	28	5	4	17	33.00	48.72	38.73
4.19	2000	1	28	3	29	17	33.00	49.05	37.73
4.19	1993	1	19	18	22	26	33.90	49.41	37.95
4.19	2014	3	15	2	20	57	39.46	49.11	39.23
4.19	2000	10	17	23	47	43	3.00	45.87	41.85
4.19	2001	9	12	14	52	2	7.00	42.74	37.91
4.19	2002	2	4	1	53	30	7.00	44.10	41.11
4.19	1999	4	24	2	41	19	9.00	45.92	41.91
4.19	2002	2	1	6	42	10	9.00	48.25	40.98
4.19	1991	4	27	3	31	59	10.00	43.68	40.01
4.19	1992	5	12	16	58	33	10.00	47.33	40.96
4.19	1999	4	26	21	0	12	10.00	47.83	41.40
4.19	1999	6	3	0	2	12	10.00	45.71	40.86
4.19	1999	7	6	20	52	7	10.00	49.40	41.55
4.19	1999	7	7	13	48	49	10.00	48.36	41.88
4.19	1999	7	7	17	43	12	10.00	48.22	41.10
4.19	1999	7	14	17	43	29	10.00	47.41	41.99
4.19	1999	8	6	0	3	7	10.00	49.46	41.87
4.19	1999	8	8	18	48	22	10.00	46.39	41.74
4.19	1999	9	6	21	53	24	10.00	45.28	41.72
4.19	2001	2	1	2	42	53	10.00	44.60	38.66
4.19	2001	7	6	9	56	43	10.00	46.12	41.67
4.19	2002	6	5	11	19	42	10.00	49.10	40.22
4.19	2002	11	10	23	24	42	10.00	44.73	35.38
4.19	2002	6	1	5	43	48	11.00	48.63	41.17
4.19	2002	2	2	16	24	58	12.00	48.10	41.43
4.19	2002	7	31	4	27	7	16.00	46.52	41.28
4.19	1996	5	18	20	10	21	17.00	47.64	34.31
4.19	2001	1	9	0	4	49	20.00	47.62	41.60
4.19	1974	2	18	18	23	38	24.00	43.35	37.53
4.19	2001	2	10	20	42	25	29.00	43.55	38.80
4.19	2004	3	10	0	49	58	29.00	50.89	40.11
4.19	1998	4	24	22	0	8	30.00	47.16	39.90
4.19	1974	3	30	0	35	5	33.00	44.29	41.48
4.19	1974	12	31	17	53	3	33.00	48.50	40.26
4.19	1979	1	1	4	25	39	33.00	50.18	37.64
4.19	1988	4	7	1	18	12	33.00	45.29	38.86
4.19	1988	7	22	16	49	33	33.00	45.46	38.92
4.19	1991	6	2	2	24	26	33.00	48.34	37.26
4.19	1991	12	8	1	2	6	33.00	48.12	38.32
4.19	1995	2	26	11	33	27	33.00	43.05	38.31
4.19	1995	10	5	3	57	11	33.00	46.80	35.21
4.19	1998	5	27	2	34	5	33.00	48.09	40.51
4.19	1998	12	23	17	1	18	33.00	46.16	41.95
4.19	1999	4	26	20	27	36	33.00	43.64	36.48
4.19	1999	5	24	10	4	25	33.00	44.39	40.95
4.19	2001	1	28	8	0	7	33.00	46.42	40.69
4.19	2001	7	13	18	31	32	33.00	44.34	41.37
4.19	2001	8	17	20	9	32	33.00	44.07	38.74
4.19	2002	12	4	6	18	32	33.00	51.97	41.49
4.19	2001	1	29	16	25	7	34.00	49.61	39.33
4.19	1966	5	27	17	16	42	36.00	52.00	40.40
4.19	2000	11	17	23	14	4	37.00	48.13	34.23
4.19	2002	1	27	0	13	19	39.00	46.10	41.23
4.19	1973	6	27	22	24	48	40.00	46.70	38.39
4.19	2001	7	13	12	22	6	44.00	48.97	40.72
4.19	1998	1	30	19	44	40	48.00	50.63	37.07
4.19	2002	1	5	3	8	16	48.00	50.40	41.02
4.19	1959	3	2	21	30	25	50.00	48.91	40.29
4.19	2002	12	1	23	56	1	51.00	49.96	40.91
4.19	1973	10	3	8	10	39	52.00	47.69	34.08
4.19	2000	4	24	15	45	20	55.00	50.13	41.09
4.19	1998	8	29	1	17	34	56.00	52.74	40.29
4.19	2000	4	15	12	39	32	70.00	50.25	40.71
4.19	1970	12	23	17	31	30	72.00	48.68	38.71
4.19	1985	4	20	20	48	33	110.00	46.36	35.78
4.09	2008	11	12	0	14	17	32.70	50.12	40.20
4.09	1987	4	12	16	55	21	33.00	48.67	38.14
4.09	1996	3	29	16	8	9	33.00	47.72	40.65
4.09	1998	5	11	5	7	28	33.00	48.87	40.27
4.09	2007	6	8	5	54	36	58.20	47.89	40.78
4.09	1981	3	28	19	59	25	3.00	44.92	39.66
4.09	2003	6	9	20	17	47	5.00	45.86	41.21
4.09	1989	5	2	17	42	56	10.00	44.30	35.58
4.09	1998	10	8	19	55	19	10.00	51.98	40.78
4.09	1999	2	1	6	49	42	10.00	50.71	40.50
4.09	1999	11	23	6	27	37	10.00	43.07	39.98
4.09	2000	4	10	21	36	55	10.00	50.37	41.39
4.09	2002	2	12	1	32	30	10.00	47.74	41.87
4.09	2002	8	25	15	17	26	10.00	47.45	41.89
4.09	2004	3	13	23	6	20	10.00	48.89	40.45
4.09	2004	3	13	23	6	57	10.00	48.52	41.22
4.09	2003	8	18	8	44	0	12.00	47.44	39.96
4.09	1998	9	25	13	59	33	15.00	44.07	39.62
4.09	2003	10	4	1	23	50	20.00	48.74	41.34
4.09	2004	1	25	13	18	7	20.00	46.72	41.37
4.09	2002	10	10	18	55	58	23.00	48.15	40.92
4.09	2002	6	20	7	7	33	27.00	48.55	41.75
4.09	1992	4	4	11	6	52	33.00	42.89	39.61
4.09	1996	1	6	0	56	55	33.00	50.28	40.97
4.09	1996	10	22	16	2	22	33.00	51.99	39.42
4.09	1999	3	17	1	50	57	33.00	47.09	40.43
4.09	2003	9	30	15	33	3	33.00	53.37	36.42
4.09	2001	6	1	4	28	38	35.00	49.96	40.99
4.09	1997	8	2	11	42	17	41.00	48.18	40.75
4.09	2000	9	7	7	32	33	44.00	45.08	38.47
4.09	1996	7	27	11	52	59	49.00	48.57	36.22
4.09	2004	1	29	11	29	33	49.00	48.58	40.92
4.09	2002	10	27	9	29	33	55.00	45.95	34.75
4.09	1998	11	7	6	37	32	57.00	44.65	37.08
4.09	2003	6	18	14	39	48	57.00	49.15	40.25
4.09	1997	2	13	0	47	38	65.00	48.80	38.69
4.09	1996	8	27	0	16	54	77.00	43.22	40.08
4.09	1996	12	14	0	26	35	78.00	48.41	40.72
4.09	1996	9	28	12	10	54	86.00	50.43	41.06
3.99	2004	11	7	17	18	33	10.00	49.47	38.66
3.99	2015	1	19	11	53	54	10.00	46.62	38.02
3.99	1974	12	31	17	53	3	33.00	47.99	39.97
3.99	1996	9	3	23	11	1	33.00	49.42	40.20
3.99	1997	6	22	0	46	34	33.00	49.27	39.55
3.99	2008	2	27	2	49	4	44.10	50.40	40.64
3.99	2002	3	23	17	17	7	6.00	45.77	41.96
3.99	2000	11	15	16	43	38	7.00	43.23	38.02
3.99	1998	9	29	15	8	11	10.00	43.75	38.57
3.99	1999	12	25	3	53	1	10.00	48.28	40.87
3.99	2002	3	14	8	30	42	10.00	44.61	39.34
3.99	2003	6	2	1	21	53	11.00	46.18	41.87
3.99	2003	12	25	9	17	27	15.00	47.62	41.86
3.99	2003	12	25	20	12	47	15.00	50.36	41.44
3.99	2003	9	2	11	20	53	16.00	46.03	41.98
3.99	2004	1	13	12	0	34	23.00	48.07	41.23
3.99	1996	1	14	20	5	24	33.00	51.14	36.58
3.99	1996	8	9	16	50	8	33.00	46.96	36.06
3.99	1997	6	23	15	6	3	33.00	52.53	35.60
3.99	1998	1	2	0	9	4	33.00	52.35	36.90
3.99	1998	7	31	16	40	42	33.00	42.84	38.57
3.99	1998	8	14	23	58	5	33.00	49.57	41.23
3.99	1998	9	8	7	36	17	33.00	44.57	37.05
3.99	1999	1	3	8	20	40	33.00	45.70	34.39
3.99	1999	6	22	12	14	2	33.00	43.59	37.09
3.99	1999	8	28	20	5	45	33.00	46.07	34.50
3.99	2000	7	2	11	42	44	33.00	50.02	40.94
3.99	2000	12	25	10	13	54	33.00	51.58	40.36
3.99	2004	1	1	9	43	21	33.00	50.71	40.62
3.99	2004	6	4	15	15	37	33.00	52.16	40.17
3.99	1996	12	9	6	56	8	34.00	50.68	40.94
3.99	1996	12	20	17	2	28	36.00	44.61	41.61
3.99	1999	5	25	9	46	45	49.00	50.26	40.51
3.99	1998	10	11	7	22	25	56.00	42.72	38.95
3.99	2004	3	20	2	51	27	56.00	48.34	40.45
3.99	1999	1	13	1	10	11	57.00	43.97	36.14
3.99	1975	11	19	23	21	22	59.00	45.84	38.54
3.99	2001	5	28	8	57	1	59.00	46.06	35.75
3.99	2002	4	27	18	46	19	61.00	49.25	41.92
3.99	1996	6	21	3	2	42	67.00	51.72	40.12
3.99	2000	6	9	16	10	59	75.00	49.63	41.87
3.99	2003	5	2	8	9	59	76.00	49.25	37.56
3.99	1997	10	9	18	28	59	77.00	48.31	41.25
3.99	2000	10	24	20	47	47	84.00	52.06	40.53
3.99	1975	3	3	16	5	9	90.00	46.25	35.51
3.89	1984	8	11	16	33	42	10.00	46.70	38.44
3.89	2008	9	14	23	32	33	28.70	50.27	39.32
3.89	1975	8	11	0	12	18	33.00	49.19	38.87
3.89	2005	10	21	13	17	26	44.80	48.38	40.09
3.89	1973	10	30	15	59	30	45.00	50.70	36.94
3.89	2005	8	12	19	22	58	50.00	47.45	40.52
3.89	2008	12	28	3	57	0	63.60	49.33	40.09
3.89	2000	5	7	2	39	26	10.00	50.75	40.93
3.89	2004	1	7	6	1	27	10.00	45.73	41.90
3.89	2004	4	17	5	19	23	10.00	49.64	38.63
3.89	2001	11	23	19	30	48	15.00	49.86	34.11
3.89	2002	2	22	2	3	22	15.00	49.92	41.04
3.89	2004	1	25	21	48	5	18.00	48.54	41.69
3.89	1991	6	12	5	15	25	33.00	51.07	41.44
3.89	1996	5	19	4	24	21	33.00	45.21	41.75
3.89	1996	8	8	2	9	38	33.00	49.71	37.04
3.89	1997	5	10	17	57	24	33.00	46.39	39.92
3.89	1998	5	17	18	33	14	33.00	43.92	36.49
3.89	2002	3	8	14	29	18	33.00	44.66	36.45
3.89	2003	11	8	10	23	16	33.00	51.95	40.41
3.89	2004	1	4	13	10	34	33.00	50.86	41.39
3.89	2004	4	29	1	31	59	33.00	48.98	38.37
3.89	1996	4	3	0	49	16	34.00	50.11	41.34
3.89	1991	12	24	7	8	28	38.00	53.10	36.04
3.89	2004	6	13	17	20	8	40.00	47.33	41.31
3.89	2000	12	29	2	14	3	41.00	46.52	41.78
3.89	2004	4	14	5	27	2	41.00	52.50	39.82
3.89	1999	7	16	12	22	5	46.00	45.27	37.09
3.89	1999	1	10	8	9	41	47.00	51.86	40.74
3.89	2003	3	10	1	15	34	47.00	46.62	41.31
3.89	2000	2	19	23	36	27	52.00	52.03	41.70
3.89	1999	4	25	12	31	44	56.00	43.31	36.72
3.89	2000	11	25	0	26	1	62.00	48.19	39.18
3.89	1975	8	8	2	12	5	77.00	47.32	35.10
3.89	2002	4	16	3	49	9	77.00	52.76	40.33
3.87	2004	8	21	13	53	15	46.00	49.43	35.49
3.79	2007	11	6	21	30	8	19.70	48.98	40.18
3.79	1993	1	16	17	54	11	33.00	50.58	37.07
3.79	1996	5	1	3	31	23	33.00	49.14	40.27
3.79	2008	7	14	3	4	42	60.90	48.08	40.56
3.79	1995	12	29	1	48	14	70.80	48.54	39.56
3.79	2001	6	24	7	5	18	4.00	52.18	35.84
3.79	2004	1	16	11	21	29	6.00	44.15	41.11
3.79	1996	8	20	17	53	38	8.00	53.11	36.39
3.79	1996	4	10	4	10	31	10.00	43.17	37.77
3.79	1997	3	6	23	28	37	10.00	43.66	39.11
3.79	1997	4	26	5	42	15	10.00	45.59	38.88
3.79	2000	5	19	5	31	19	10.00	48.42	38.54
3.79	2002	1	7	17	53	18	10.00	43.79	40.78
3.79	2002	4	28	8	32	21	10.00	46.35	40.85
3.79	2001	12	24	20	41	10	13.00	48.35	39.86
3.79	2002	3	29	14	3	19	16.00	46.03	41.28
3.79	2003	2	13	17	14	51	19.00	48.56	33.96
3.79	1997	5	14	1	21	56	24.00	45.17	38.30
3.79	2004	5	6	0	43	43	26.00	47.14	34.47
3.79	2003	12	2	19	4	18	28.00	52.66	36.00
3.79	1989	4	4	10	39	8	33.00	45.30	38.80
3.79	1989	6	4	10	39	8	33.00	45.30	38.75
3.79	1990	4	1	8	26	52	33.00	45.49	35.08
3.79	1998	4	18	23	42	14	33.00	48.88	35.51
3.79	1998	7	7	11	6	38	33.00	52.08	36.22
3.79	1998	7	18	2	51	46	33.00	45.56	35.68
3.79	1998	8	30	15	12	55	33.00	52.13	36.10
3.79	2000	6	23	15	44	27	33.00	51.03	40.31
3.79	2001	4	10	1	31	59	33.00	49.33	39.79
3.79	2002	5	23	9	28	21	33.00	46.57	34.09
3.79	2004	4	10	21	35	49	33.00	51.40	41.73
3.79	1996	4	19	2	3	41	46.00	46.34	35.28
3.79	1996	8	6	16	56	41	52.00	48.38	41.37
3.79	1999	1	21	8	21	39	62.00	48.84	41.18
3.79	1993	8	27	0	33	54	78.00	51.74	40.95
3.75	2010	4	28	20	4	18	14.20	49.06	35.89
3.69	2006	10	18	1	56	50	35.00	47.06	40.61
3.69	2006	11	17	2	32	48	41.10	48.49	40.73
3.69	2008	4	11	22	33	60	42.40	48.69	40.78
3.69	1996	12	12	4	58	35	10.00	43.32	38.00
3.69	2003	9	19	17	11	32	15.00	51.62	35.61
3.69	2003	10	13	20	28	20	18.00	52.25	35.12
3.69	1997	4	30	3	46	27	20.00	51.93	39.96
3.69	2003	9	30	3	44	36	28.00	52.57	35.97
3.69	1996	5	9	7	44	48	33.00	48.88	40.98
3.69	1996	6	28	21	29	49	33.00	53.30	40.30
3.69	2003	6	24	7	16	51	33.00	49.70	41.16
3.69	1996	5	12	8	39	31	50.00	45.65	36.20
3.69	2003	2	21	23	0	31	62.00	46.56	34.48
3.69	1998	10	25	22	21	53	63.00	44.21	40.87
3.69	1997	4	1	7	33	32	74.00	48.91	37.87
3.63	2006	2	22	23	19	25	15.00	50.41	36.11
3.63	2001	8	20	20	57	14	12.00	48.98	36.33
3.59	2000	10	28	20	0	16	33.00	46.31	40.11
3.59	2002	12	17	9	8	51	10.00	45.60	36.88
3.59	1996	6	9	20	25	53	33.00	48.45	39.97
3.59	1998	3	18	21	11	37	33.00	48.52	41.09
3.59	2001	11	2	0	2	49	33.00	48.74	39.81
3.59	2004	1	14	18	35	6	33.00	51.47	41.04
3.59	2004	6	21	0	12	50	33.00	50.83	40.35
3.59	2001	4	20	21	47	52	44.00	44.34	39.25
3.59	2001	3	11	10	57	5	66.00	46.33	41.74
3.59	2000	10	28	20	0	19	87.00	46.50	39.90
3.59	2000	4	12	23	38	27	88.00	46.92	39.94
3.52	2003	3	9	22	50	12	9.00	51.68	35.69
3.49	2002	2	7	16	13	37	10.00	44.50	35.05
3.49	2003	8	31	16	37	1	10.00	45.97	41.46
3.49	2003	9	4	7	56	1	15.00	51.42	35.22
3.49	2003	9	19	17	53	15	15.00	51.85	35.93
3.49	1996	1	12	4	38	40	33.00	46.64	40.54
3.49	1997	2	16	10	57	30	33.00	46.05	41.99
3.49	2003	3	15	12	16	21	89.00	52.79	40.76
3.39	1993	4	24	12	29	19	3.00	44.09	41.36
3.39	2002	1	23	7	9	19	15.00	50.47	36.61
3.39	1992	2	25	22	1	56	33.00	45.27	39.22
3.39	2002	1	12	5	18	22	33.00	50.56	35.61
3.30	2004	4	11	5	2	47	5.00	43.76	38.96
3.30	2001	2	16	1	43	0	11.00	52.11	35.33
3.30	2004	7	13	10	19	59	14.00	47.83	37.77
3.20	2000	10	5	8	16	0	9.00	46.66	34.87
3.20	2001	7	24	20	45	39	13.00	51.02	34.47
3.20	2001	5	4	13	15	40	15.00	49.33	36.02
3.20	2001	10	7	4	36	37	15.00	47.88	34.41
3.20	2002	3	26	21	5	6	15.00	52.92	36.31
3.20	2000	9	3	6	13	17	17.00	48.03	34.27
3.20	2001	1	21	16	52	51	33.00	46.51	34.65
3.20	2001	4	26	20	10	28	33.00	48.20	34.33
3.10	2000	8	8	9	17	3	8.00	52.00	36.30
3.10	2001	9	12	4	38	39	23.00	50.69	34.21
3.00	2000	7	21	18	27	26	4.00	46.62	34.98
3.00	2004	3	31	8	43	27	14.00	43.70	37.48
3.00	2004	7	3	6	57	41	14.00	48.55	38.56
3.00	2004	8	23	3	50	34	14.00	44.81	36.63
3.00	2002	7	2	19	37	5	15.00	52.67	36.68
3.00	2002	8	18	4	34	48	15.00	52.78	35.58
3.00	2002	12	9	3	40	31	15.00	50.93	34.92
3.00	2003	1	17	12	34	4	15.00	49.90	37.45
3.00	2004	6	27	20	17	57	15.00	52.66	35.91
2.91	2004	6	7	17	58	25	4.00	49.90	34.25
2.91	2002	3	25	9	58	57	15.00	51.87	35.02
2.91	2000	10	21	13	6	2	39.00	47.61	34.49
2.89	2000	5	10	22	33	11	33.00	49.61	34.66
2.82	2004	6	20	4	49	37	15.00	46.25	36.32
2.82	2001	6	20	20	42	0	22.00	47.84	38.03
2.82	2004	1	8	15	34	19	33.00	48.01	34.21
2.79	2004	6	6	20	29	37	5.00	42.79	37.67
2.73	2004	6	8	4	43	57	5.00	43.51	40.22
2.73	2003	10	4	16	3	4	6.00	45.58	34.55
2.73	2001	2	12	7	4	29	12.00	52.53	36.30
2.73	2001	2	16	10	45	28	15.00	52.12	35.95
2.73	2001	8	12	20	4	57	15.00	50.88	34.37
2.73	2002	11	25	0	48	20	15.00	48.80	36.43
2.73	2004	6	1	3	1	29	15.00	52.99	35.95
2.73	2004	3	15	20	5	9	17.00	46.13	34.81
2.64	2001	2	16	14	29	35	1.00	50.04	38.42
2.64	2002	11	18	17	56	33	15.00	49.09	36.59
2.64	2002	12	1	1	44	46	15.00	50.56	37.53
2.56	2001	2	25	22	5	7	8.00	47.46	34.10
2.56	2002	11	22	4	6	13	15.00	49.16	34.90
2.56	2003	3	9	8	57	29	15.00	51.34	35.63
2.48	2001	4	28	7	44	27	10.00	50.34	34.16
2.48	2004	8	27	21	43	5	14.00	48.92	35.68
2.40	2001	2	28	2	44	32	6.00	49.26	36.63
2.40	2001	6	20	0	0	6	6.00	49.91	34.33
2.40	2001	2	16	15	30	24	8.00	53.19	36.03
2.40	2001	4	17	23	48	26	13.00	50.27	35.78
2.40	2002	3	21	10	14	33	15.00	51.40	34.90
2.40	2004	6	3	13	5	40	15.00	53.23	36.94
2.40	2004	6	19	2	19	21	15.00	52.09	35.70
2.40	2001	2	5	19	2	21	18.00	48.60	38.61
2.40	2002	10	27	9	57	47	22.00	46.54	34.80
2.33	2000	4	10	3	14	15	10.00	50.46	34.77
2.33	2001	2	26	17	7	2	18.00	49.41	36.76
2.25	2004	6	24	17	14	48	15.00	44.33	38.39
2.25	2001	6	21	22	37	36	22.00	52.17	35.97
2.18	2001	2	8	2	40	40	8.00	52.12	35.93
2.18	2001	2	10	2	19	44	12.00	50.97	35.84
2.18	2004	6	6	17	27	27	15.00	47.76	38.41
2.18	2001	2	11	22	45	47	16.00	52.10	35.94
