859.0	0	1	0	0
872.5	0	1	0	1
958.3	0	1	0	2
978.5	0	1	1	2
1008.0	0	1	1	3
1008.3	0	1	1	4
1052.0	0	1	1	5
1058.9	0	1	1	6
1085.3	0	1	2	6
1107.7	0	1	2	7
1118.3	0	1	3	7
1130.2	0	1	3	8
1135.6	0	1	3	9
1150.3	0	1	4	9
1179.3	0	1	4	10
1194.2	0	2	4	10
1226.9	0	2	4	11
1310.0	0	2	5	11
1361.0	0	2	6	11
1400.0	0	2	7	11
1430.0	0	2	8	11
1430.0	0	2	9	11
1440.0	0	2	9	11
1457.0	0	2	9	12
1459.0	0	2	9	13
1497.0	0	2	9	14
1503.0	0	2	9	15
1591.0	0	2	10	15
1593.7	0	2	10	16
1666.0	0	2	10	17
1677.0	0	2	10	18
1703.0	0	2	10	19
1824.5	0	2	10	20
1853.3	0	2	10	21
1853.4	0	2	11	21
1853.4	0	2	12	21
1863.0	0	2	12	22
1864.9	0	2	12	23
1865.0	0	2	13	23
1865.4	0	2	14	23
1871.2	0	2	14	24
1872.4	0	2	14	25
1875.2	0	2	15	25
1876.7	0	2	16	25
1883.8	0	2	17	25
1884.1	0	2	17	26
1890.2	0	2	17	27
1894.2	0	2	18	27
1897.0	0	2	18	28
1902.5	0	2	18	29
1905.3	0	2	19	29
1907.5	0	2	20	29
1909.1	0	2	20	29
1909.3	0	2	21	29
1911.7	0	2	22	29
1913.2	0	2	23	29
1915.2	0	2	24	29
1917.5	0	2	25	29
1919.4	0	2	26	29
1920.8	0	2	27	29
1924.5	0	2	28	29
1924.6	0	2	29	29
1925.6	0	2	30	29
1925.7	0	2	30	30
1926.0	0	2	31	30
1926.3	0	3	31	30
1927.4	0	3	32	30
1927.6	0	4	32	30
1927.9	0	4	32	31
1928.7	0	4	33	31
1929.5	0	4	33	32
1929.5	0	4	34	32
1929.6	0	5	34	32
1929.8	0	5	35	32
1929.8	0	5	36	32
1930.1	0	6	36	32
1930.3	0	6	37	32
1930.3	0	6	38	32
1930.3	0	6	39	32
1930.4	0	7	39	32
1930.4	0	8	39	32
